sample	cluster_joint_r0.3	cluster_joint_r0.5	cluster_joint_r0.8	cluster_joint_r4	tsne_x	tsne_y	modality
UMB5577_1_UMB5577_2_A6_AD008_rna	8	9	10	35	-8.087225	-8.758569	human_frontal_rna
UMB5577_1_UMB5577_2_A6_AD010_rna	2	3	1	5	11.279711	-2.2863011	human_frontal_rna
UMB5577_1_UMB5577_2_A6_AD012_rna	1	2	2	14	6.6333046	-9.530915	human_frontal_rna
UMB5577_1_UMB5577_2_A7_AD001_rna	3	4	13	41	13.344904	10.306957	human_frontal_rna
UMB5577_1_UMB5577_2_A7_AD002_rna	9	10	11	9	0.018212838	7.34632	human_frontal_rna
UMB5577_1_UMB5577_2_A7_AD004_rna	13	14	19	42	-7.11628	4.9455185	human_frontal_rna
UMB5577_1_UMB5577_2_A7_AD006_rna	6	7	7	32	-0.37517795	-7.1252375	human_frontal_rna
UMB5577_1_UMB5577_2_A7_AD007_rna	1	2	12	17	5.9651875	-6.2305956	human_frontal_rna
UMB5577_1_UMB5577_2_A7_AD008_rna	3	4	5	41	14.404982	9.887255	human_frontal_rna
UMB5577_1_UMB5577_2_A7_AD010_rna	1	2	2	14	7.962809	-8.259885	human_frontal_rna
UMB5577_1_UMB5577_2_A7_AD012_rna	2	1	1	1	12.603606	-5.2952757	human_frontal_rna
UMB5577_1_UMB5577_2_A8_AD001_rna	2	3	1	5	12.43908	-2.2944567	human_frontal_rna
UMB5577_1_UMB5577_2_A8_AD002_rna	4	5	4	21	0.9611618	0.36226764	human_frontal_rna
UMB5577_1_UMB5577_2_A8_AD004_rna	9	10	11	9	-0.034124687	6.466569	human_frontal_rna
UMB5577_1_UMB5577_2_A8_AD006_rna	1	2	2	3	7.7892685	-8.754564	human_frontal_rna
UMB5577_1_UMB5577_2_A8_AD007_rna	7	8	9	13	3.685306	5.7131667	human_frontal_rna
UMB5577_1_UMB5577_2_A8_AD008_rna	7	8	9	6	5.6460533	4.92287	human_frontal_rna
UMB5577_1_UMB5577_2_A8_AD012_rna	2	12	6	4	15.107546	0.7537004	human_frontal_rna
UMB5577_1_UMB5577_2_A9_AD001_rna	9	10	11	9	-1.1944132	6.6340847	human_frontal_rna
UMB5577_1_UMB5577_2_A9_AD004_rna	1	1	3	18	11.656336	-9.0716715	human_frontal_rna
UMB5577_1_UMB5577_2_A9_AD006_rna	5	6	8	22	11.003179	13.947431	human_frontal_rna
UMB5577_1_UMB5577_2_A9_AD007_rna	5	6	8	22	10.197448	13.976726	human_frontal_rna
UMB5577_1_UMB5577_2_A9_AD008_rna	7	8	9	6	5.2031355	4.102558	human_frontal_rna
UMB5577_1_UMB5577_2_A9_AD010_rna	9	10	11	39	-2.1101525	3.8213046	human_frontal_rna
UMB5577_1_UMB5577_2_A9_AD012_rna	1	1	3	18	10.934218	-8.697533	human_frontal_rna
UMB5577_1_UMB5577_2_B10_AD001_rna	1	2	2	17	8.308027	-6.772762	human_frontal_rna
UMB5577_1_UMB5577_2_B10_AD002_rna	2	1	1	27	9.468877	-4.1830935	human_frontal_rna
