sample	cluster_joint_r0.3	cluster_joint_r0.5	cluster_joint_r0.8	cluster_joint_r4	tsne_x	tsne_y	modality
UMB5580_1_UMB5580_2_A1_AD008_rna	11	12	6	10	15.908895	3.9187825	human_frontal_rna
UMB5580_1_UMB5580_2_A1_AD010_rna	1	2	3	3	8.162903	-7.126723	human_frontal_rna
UMB5580_1_UMB5580_2_A1_AD012_rna	2	3	6	4	13.346885	-0.82078016	human_frontal_rna
UMB5580_1_UMB5580_2_A2_AD001_rna	8	9	10	30	-6.0016236	-6.3548203	human_frontal_rna
UMB5580_1_UMB5580_2_A2_AD002_rna	3	4	5	8	16.12198	9.871903	human_frontal_rna
UMB5580_1_UMB5580_2_A2_AD004_rna	1	2	2	14	5.8407755	-10.126891	human_frontal_rna
UMB5580_1_UMB5580_2_A2_AD006_rna	1	2	2	3	5.3265944	-9.06266	human_frontal_rna
UMB5580_1_UMB5580_2_A2_AD007_rna	1	2	2	20	5.4905	-6.828492	human_frontal_rna
UMB5580_1_UMB5580_2_A2_AD008_rna	2	1	1	1	11.980914	-5.5577807	human_frontal_rna
UMB5580_1_UMB5580_2_A2_AD010_rna	3	4	5	8	16.752277	8.514864	human_frontal_rna
UMB5580_1_UMB5580_2_A3_AD001_rna	8	9	10	40	-3.4038289	-5.6184545	human_frontal_rna
UMB5580_1_UMB5580_2_A3_AD002_rna	1	1	12	17	8.496523	-5.166013	human_frontal_rna
UMB5580_1_UMB5580_2_A3_AD004_rna	3	4	5	8	16.290552	9.442161	human_frontal_rna
UMB5580_1_UMB5580_2_A3_AD006_rna	6	7	7	29	-1.9506909	-10.185536	human_frontal_rna
UMB5580_1_UMB5580_2_A3_AD007_rna	2	3	1	27	12.360459	-2.9052	human_frontal_rna
UMB5580_1_UMB5580_2_A3_AD008_rna	12	13	13	16	20.792389	-0.38123867	human_frontal_rna
UMB5580_1_UMB5580_2_A3_AD010_rna	2	1	3	24	11.252805	-6.845702	human_frontal_rna
UMB5580_1_UMB5580_2_A3_AD012_rna	5	6	8	28	7.1757708	14.928777	human_frontal_rna
UMB5580_1_UMB5580_2_A4_AD001_rna	7	8	9	6	4.3176913	4.505628	human_frontal_rna
UMB5580_1_UMB5580_2_A4_AD002_rna	6	7	7	29	-0.81021833	-9.6278	human_frontal_rna
UMB5580_1_UMB5580_2_A4_AD004_rna	3	4	13	41	13.184412	9.800177	human_frontal_rna
UMB5580_1_UMB5580_2_A4_AD006_rna	3	4	5	2	16.457596	7.9293895	human_frontal_rna
UMB5580_1_UMB5580_2_A4_AD007_rna	6	7	18	33	-2.8506234	-10.246664	human_frontal_rna
UMB5580_1_UMB5580_2_A4_AD008_rna	3	4	5	2	15.961911	6.29035	human_frontal_rna
UMB5580_1_UMB5580_2_A4_AD010_rna	1	1	3	7	9.722172	-6.4955096	human_frontal_rna
UMB5580_1_UMB5580_2_A4_AD012_rna	1	2	12	17	6.1898937	-4.26544	human_frontal_rna
UMB5580_1_UMB5580_2_A5_AD001_rna	12	13	13	16	19.11084	0.62622494	human_frontal_rna
UMB5580_1_UMB5580_2_A5_AD002_rna	3	4	5	2	16.100239	7.6070395	human_frontal_rna
UMB5580_1_UMB5580_2_A5_AD004_rna	6	7	7	23	-1.2647616	-6.7936697	human_frontal_rna
UMB5580_1_UMB5580_2_A5_AD006_rna	4	5	4	15	2.7713385	1.9043729	human_frontal_rna
UMB5580_1_UMB5580_2_A5_AD008_rna	1	1	3	7	8.485275	-7.046426	human_frontal_rna
UMB5580_1_UMB5580_2_A5_AD010_rna	6	7	7	32	0.68975	-8.145404	human_frontal_rna
UMB5580_1_UMB5580_2_A5_AD012_rna	9	10	11	9	-0.33981133	6.256177	human_frontal_rna
UMB5580_1_UMB5580_2_A6_AD001_rna	7	8	9	13	3.911957	7.048524	human_frontal_rna
UMB5580_1_UMB5580_2_A6_AD002_rna	16	17	21	43	7.5217233	0.07854302	human_frontal_rna
UMB5580_1_UMB5580_2_A6_AD004_rna	4	5	4	15	7.472061	-3.7470896	human_frontal_rna
UMB5580_1_UMB5580_2_A6_AD006_rna	7	8	9	13	3.5695689	5.6026855	human_frontal_rna
UMB5580_1_UMB5580_2_A6_AD007_rna	1	1	17	18	11.759848	-10.318036	human_frontal_rna
UMB5580_1_UMB5580_2_A6_AD008_rna	14	15	16	44	-16.557997	3.1082003	human_frontal_rna
UMB5580_1_UMB5580_2_A6_AD010_rna	5	6	8	28	7.1749983	15.072936	human_frontal_rna
UMB5580_1_UMB5580_2_A6_AD012_rna	1	2	2	3	6.8993855	-7.9118834	human_frontal_rna
UMB5580_1_UMB5580_2_A7_AD001_rna	7	8	9	6	4.1792183	2.5133803	human_frontal_rna
UMB5580_1_UMB5580_2_A7_AD002_rna	7	8	9	13	3.8995538	5.805826	human_frontal_rna
UMB5580_1_UMB5580_2_A7_AD004_rna	13	14	19	48	-3.5155509	15.22007	human_frontal_rna
UMB5580_1_UMB5580_2_A7_AD006_rna	6	7	18	33	-2.927102	-8.589428	human_frontal_rna
UMB5580_1_UMB5580_2_A7_AD007_rna	9	10	11	9	-0.2978184	6.4541945	human_frontal_rna
UMB5580_1_UMB5580_2_A7_AD008_rna	13	14	19	42	-7.425969	4.425345	human_frontal_rna
UMB5580_1_UMB5580_2_A7_AD010_rna	3	4	13	41	12.927818	10.431223	human_frontal_rna
UMB5580_1_UMB5580_2_A7_AD012_rna	1	1	12	17	7.7269144	-3.9404953	human_frontal_rna
UMB5580_1_UMB5580_2_A8_AD001_rna	7	8	9	13	3.7920356	7.3717794	human_frontal_rna
UMB5580_1_UMB5580_2_A8_AD002_rna	5	6	8	28	7.0603857	15.020618	human_frontal_rna
UMB5580_1_UMB5580_2_A8_AD004_rna	10	11	14	19	-0.7973404	-2.5032551	human_frontal_rna
UMB5580_1_UMB5580_2_A8_AD006_rna	1	2	2	3	5.5065403	-6.7100267	human_frontal_rna
UMB5580_1_UMB5580_2_A8_AD007_rna	13	14	19	48	-3.418883	15.12995	human_frontal_rna
UMB5580_1_UMB5580_2_A8_AD008_rna	2	3	1	5	12.200764	-2.831617	human_frontal_rna
UMB5580_1_UMB5580_2_A8_AD010_rna	2	3	1	1	12.040363	-3.6870558	human_frontal_rna
UMB5580_1_UMB5580_2_A8_AD012_rna	2	3	6	4	14.640148	-1.5112463	human_frontal_rna
UMB5580_1_UMB5580_2_A9_AD001_rna	16	17	21	43	7.609746	0.20037098	human_frontal_rna
UMB5580_1_UMB5580_2_A9_AD002_rna	5	6	8	22	10.688064	14.024159	human_frontal_rna
UMB5580_1_UMB5580_2_A9_AD006_rna	5	6	8	28	7.4825716	14.62312	human_frontal_rna
UMB5580_1_UMB5580_2_A9_AD007_rna	7	8	9	6	4.9100957	4.8543983	human_frontal_rna
UMB5580_1_UMB5580_2_A9_AD008_rna	1	1	3	7	9.562286	-7.138156	human_frontal_rna
UMB5580_1_UMB5580_2_A9_AD010_rna	3	4	5	8	15.783858	9.895075	human_frontal_rna
UMB5580_1_UMB5580_2_A9_AD012_rna	9	10	11	9	-1.1842191	5.6783814	human_frontal_rna
UMB5580_1_UMB5580_2_B10_AD001_rna	12	13	13	16	20.675083	0.35024643	human_frontal_rna
UMB5580_1_UMB5580_2_B10_AD002_rna	1	2	2	14	6.589098	-10.862266	human_frontal_rna
UMB5580_1_UMB5580_2_B10_AD004_rna	7	8	9	6	5.0001793	3.9436986	human_frontal_rna
UMB5580_1_UMB5580_2_B10_AD006_rna	1	1	3	7	9.910345	-6.457295	human_frontal_rna
UMB5580_1_UMB5580_2_B10_AD007_rna	11	12	6	10	16.015717	3.535881	human_frontal_rna
UMB5580_1_UMB5580_2_B10_AD008_rna	4	5	4	15	3.4000535	-0.018195488	human_frontal_rna
UMB5580_1_UMB5580_2_B10_AD010_rna	5	6	8	28	7.9474816	13.757025	human_frontal_rna
UMB5580_1_UMB5580_2_B10_AD012_rna	2	1	1	27	10.161607	-5.566416	human_frontal_rna
UMB5580_1_UMB5580_2_B11_AD001_rna	16	17	21	43	7.283266	-0.3324546	human_frontal_rna
UMB5580_1_UMB5580_2_B11_AD002_rna	14	15	16	44	-16.303225	2.8298113	human_frontal_rna
UMB5580_1_UMB5580_2_B11_AD004_rna	8	9	10	40	-2.8367105	-5.6674056	human_frontal_rna
UMB5580_1_UMB5580_2_B11_AD006_rna	1	2	12	17	7.157156	-5.7246327	human_frontal_rna
UMB5580_1_UMB5580_2_B11_AD008_rna	5	6	8	22	10.42557	12.910193	human_frontal_rna
UMB5580_1_UMB5580_2_B11_AD010_rna	11	12	6	4	14.813215	1.1947247	human_frontal_rna
UMB5580_1_UMB5580_2_B11_AD012_rna	11	12	6	10	15.90981	2.3111782	human_frontal_rna
UMB5580_1_UMB5580_2_B1_AD001_rna	2	3	6	4	14.921842	-0.14824529	human_frontal_rna
UMB5580_1_UMB5580_2_B1_AD002_rna	11	12	6	10	15.76271	4.4596868	human_frontal_rna
UMB5580_1_UMB5580_2_B1_AD006_rna	2	3	6	4	13.85249	0.21902995	human_frontal_rna
UMB5580_1_UMB5580_2_B1_AD007_rna	5	6	8	22	10.160285	12.72889	human_frontal_rna
UMB5580_1_UMB5580_2_B1_AD008_rna	2	1	1	1	12.35718	-6.4806466	human_frontal_rna
UMB5580_1_UMB5580_2_B1_AD010_rna	3	4	5	2	16.492662	6.9415593	human_frontal_rna
UMB5580_1_UMB5580_2_B1_AD012_rna	3	4	13	41	13.684818	9.299579	human_frontal_rna
UMB5580_1_UMB5580_2_B2_AD001_rna	9	10	11	9	-1.6717318	5.9727983	human_frontal_rna
UMB5580_1_UMB5580_2_B2_AD002_rna	2	3	1	26	13.290523	-2.43343	human_frontal_rna
UMB5580_1_UMB5580_2_B2_AD004_rna	2	1	1	27	10.122716	-5.4252768	human_frontal_rna
UMB5580_1_UMB5580_2_B2_AD006_rna	8	9	10	30	-6.242606	-6.7984476	human_frontal_rna
UMB5580_1_UMB5580_2_B2_AD007_rna	2	3	1	5	12.473396	-3.0834088	human_frontal_rna
UMB5580_1_UMB5580_2_B2_AD008_rna	2	3	1	27	12.210434	-3.5032957	human_frontal_rna
UMB5580_1_UMB5580_2_B2_AD010_rna	2	3	6	4	13.247617	-0.2636073	human_frontal_rna
UMB5580_1_UMB5580_2_B2_AD012_rna	1	1	3	7	10.22185	-6.7203526	human_frontal_rna
UMB5580_1_UMB5580_2_B3_AD001_rna	1	2	12	17	5.588318	-4.1191683	human_frontal_rna
UMB5580_1_UMB5580_2_B3_AD002_rna	1	2	2	14	7.142441	-10.5194025	human_frontal_rna
UMB5580_1_UMB5580_2_B3_AD004_rna	5	6	15	34	7.8341665	10.558367	human_frontal_rna
UMB5580_1_UMB5580_2_B3_AD006_rna	13	14	19	42	-7.4892473	4.7363553	human_frontal_rna
UMB5580_1_UMB5580_2_B3_AD007_rna	2	1	1	27	10.233472	-4.8406734	human_frontal_rna
UMB5580_1_UMB5580_2_B3_AD008_rna	2	3	6	4	13.418364	-0.8967312	human_frontal_rna
UMB5580_1_UMB5580_2_B3_AD012_rna	6	7	7	29	-0.966346	-10.437005	human_frontal_rna
UMB5580_1_UMB5580_2_B4_AD001_rna	16	17	21	43	7.6111503	0.17756087	human_frontal_rna
UMB5580_1_UMB5580_2_B4_AD002_rna	4	5	4	11	0.714421	2.6979072	human_frontal_rna
UMB5580_1_UMB5580_2_B4_AD004_rna	8	9	10	35	-5.5484524	-8.543044	human_frontal_rna
UMB5580_1_UMB5580_2_B4_AD006_rna	7	8	9	13	4.171234	6.727917	human_frontal_rna
UMB5580_1_UMB5580_2_B4_AD007_rna	14	15	16	49	-14.999904	1.3763921	human_frontal_rna
UMB5580_1_UMB5580_2_B4_AD008_rna	2	3	6	4	13.30142	-0.50594306	human_frontal_rna
UMB5580_1_UMB5580_2_B4_AD010_rna	6	7	7	23	-0.6390236	-7.1415615	human_frontal_rna
UMB5580_1_UMB5580_2_B4_AD012_rna	2	3	1	26	13.456625	-1.8384196	human_frontal_rna
UMB5580_1_UMB5580_2_B5_AD001_rna	11	12	6	10	16.07414	2.5083168	human_frontal_rna
UMB5580_1_UMB5580_2_B5_AD004_rna	4	5	4	15	6.8915195	-3.571465	human_frontal_rna
UMB5580_1_UMB5580_2_B5_AD006_rna	2	3	1	5	12.329004	-2.9784229	human_frontal_rna
UMB5580_1_UMB5580_2_B5_AD007_rna	1	2	2	14	6.260261	-9.702587	human_frontal_rna
UMB5580_1_UMB5580_2_B5_AD008_rna	5	6	8	22	9.389199	13.51221	human_frontal_rna
UMB5580_1_UMB5580_2_B5_AD012_rna	4	5	4	15	3.7327402	2.0249074	human_frontal_rna
UMB5580_1_UMB5580_2_B6_AD001_rna	2	1	3	24	11.050645	-6.954987	human_frontal_rna
UMB5580_1_UMB5580_2_B6_AD002_rna	1	2	2	20	6.0034146	-7.862964	human_frontal_rna
UMB5580_1_UMB5580_2_B6_AD004_rna	16	17	21	43	7.571935	0.09140972	human_frontal_rna
UMB5580_1_UMB5580_2_B6_AD006_rna	8	9	10	30	-5.596964	-7.0491934	human_frontal_rna
UMB5580_1_UMB5580_2_B6_AD008_rna	3	4	5	2	16.28059	6.925378	human_frontal_rna
UMB5580_1_UMB5580_2_B6_AD010_rna	2	3	6	4	13.402601	-1.084558	human_frontal_rna
UMB5580_1_UMB5580_2_B6_AD012_rna	3	4	5	2	15.438833	6.720037	human_frontal_rna
UMB5580_1_UMB5580_2_B7_AD001_rna	1	2	2	3	7.5300074	-7.7131925	human_frontal_rna
UMB5580_1_UMB5580_2_B7_AD002_rna	9	10	11	9	-1.8888632	4.964778	human_frontal_rna
UMB5580_1_UMB5580_2_B7_AD004_rna	1	1	3	20	8.660714	-6.2120275	human_frontal_rna
UMB5580_1_UMB5580_2_B7_AD006_rna	6	7	18	33	-3.0830293	-9.831694	human_frontal_rna
UMB5580_1_UMB5580_2_B7_AD007_rna	6	7	7	29	-0.3076565	-8.878188	human_frontal_rna
UMB5580_1_UMB5580_2_B7_AD008_rna	6	7	7	23	-1.0689566	-6.8707204	human_frontal_rna
UMB5580_1_UMB5580_2_B7_AD010_rna	7	8	9	6	4.703373	4.339075	human_frontal_rna
UMB5580_1_UMB5580_2_B7_AD012_rna	8	9	10	40	-4.431735	-4.7595	human_frontal_rna
UMB5580_1_UMB5580_2_B8_AD001_rna	7	8	9	6	5.4602365	3.6816783	human_frontal_rna
UMB5580_1_UMB5580_2_B8_AD002_rna	4	5	4	15	4.012536	-0.51211965	human_frontal_rna
UMB5580_1_UMB5580_2_B8_AD004_rna	7	8	9	13	3.8726494	7.5862136	human_frontal_rna
UMB5580_1_UMB5580_2_B8_AD006_rna	5	6	8	28	7.413201	14.276454	human_frontal_rna
UMB5580_1_UMB5580_2_B8_AD007_rna	13	14	22	45	-7.0071406	3.1194246	human_frontal_rna
UMB5580_1_UMB5580_2_B8_AD008_rna	5	6	8	28	7.9517236	14.517273	human_frontal_rna
UMB5580_1_UMB5580_2_B8_AD010_rna	6	7	7	23	-0.27168712	-4.408451	human_frontal_rna
UMB5580_1_UMB5580_2_B8_AD012_rna	7	8	9	13	3.7206674	5.7008805	human_frontal_rna
UMB5580_1_UMB5580_2_B9_AD001_rna	2	3	6	4	15.07817	-0.13586983	human_frontal_rna
UMB5580_1_UMB5580_2_B9_AD002_rna	4	5	4	15	3.8585792	-0.28735784	human_frontal_rna
UMB5580_1_UMB5580_2_B9_AD004_rna	4	5	4	15	2.7575588	0.21495628	human_frontal_rna
UMB5580_1_UMB5580_2_B9_AD006_rna	1	1	3	25	8.530246	-6.324778	human_frontal_rna
UMB5580_1_UMB5580_2_B9_AD007_rna	13	14	19	42	-6.7559595	4.849367	human_frontal_rna
UMB5580_1_UMB5580_2_B9_AD008_rna	9	10	11	9	0.40002662	4.388282	human_frontal_rna
UMB5580_1_UMB5580_2_B9_AD010_rna	4	5	4	15	4.522865	-1.1298556	human_frontal_rna
UMB5580_1_UMB5580_2_B9_AD012_rna	1	2	2	3	5.5675735	-7.736474	human_frontal_rna
UMB5580_1_UMB5580_2_C10_AD002_rna	1	1	3	25	9.191753	-4.784482	human_frontal_rna
UMB5580_1_UMB5580_2_C10_AD004_rna	7	8	9	13	3.5867164	5.2573647	human_frontal_rna
UMB5580_1_UMB5580_2_C10_AD006_rna	3	4	5	2	14.880262	6.943057	human_frontal_rna
UMB5580_1_UMB5580_2_C10_AD007_rna	9	10	11	39	-2.5135877	4.33528	human_frontal_rna
UMB5580_1_UMB5580_2_C10_AD008_rna	4	5	4	11	-1.3175088	3.2634861	human_frontal_rna
UMB5580_1_UMB5580_2_C10_AD010_rna	11	12	6	4	15.088152	1.4964995	human_frontal_rna
UMB5580_1_UMB5580_2_C10_AD012_rna	1	1	3	7	9.304859	-8.00543	human_frontal_rna
UMB5580_1_UMB5580_2_C11_AD001_rna	5	6	15	34	8.396954	11.809944	human_frontal_rna
UMB5580_1_UMB5580_2_C11_AD002_rna	2	1	1	1	12.299991	-5.486595	human_frontal_rna
UMB5580_1_UMB5580_2_C11_AD004_rna	3	4	13	41	13.448605	9.606865	human_frontal_rna
UMB5580_1_UMB5580_2_C11_AD006_rna	2	1	1	1	12.543414	-5.935778	human_frontal_rna
UMB5580_1_UMB5580_2_C11_AD007_rna	4	5	4	15	2.7858725	1.4974561	human_frontal_rna
UMB5580_1_UMB5580_2_C11_AD008_rna	15	16	20	36	-14.344913	-7.07012	human_frontal_rna
UMB5580_1_UMB5580_2_C11_AD010_rna	3	4	5	2	15.676382	7.608563	human_frontal_rna
UMB5580_1_UMB5580_2_C11_AD012_rna	4	5	4	11	-0.059001114	3.1623998	human_frontal_rna
UMB5580_1_UMB5580_2_C1_AD001_rna	5	6	8	28	7.0518737	13.927101	human_frontal_rna
UMB5580_1_UMB5580_2_C1_AD002_rna	2	3	1	5	12.851625	-3.391165	human_frontal_rna
UMB5580_1_UMB5580_2_C1_AD004_rna	12	13	13	16	19.79099	0.51825666	human_frontal_rna
UMB5580_1_UMB5580_2_C1_AD006_rna	11	12	6	10	17.770876	4.2025394	human_frontal_rna
UMB5580_1_UMB5580_2_C1_AD007_rna	2	3	1	1	12.164308	-4.546617	human_frontal_rna
UMB5580_1_UMB5580_2_C1_AD008_rna	6	7	18	33	-2.857152	-10.109982	human_frontal_rna
UMB5580_1_UMB5580_2_C1_AD010_rna	6	7	7	23	-1.0214229	-7.0607677	human_frontal_rna
UMB5580_1_UMB5580_2_C1_AD012_rna	4	5	4	11	0.03959748	3.1444905	human_frontal_rna
UMB5580_1_UMB5580_2_C2_AD001_rna	10	11	12	31	5.282165	-3.775828	human_frontal_rna
UMB5580_1_UMB5580_2_C2_AD002_rna	6	7	7	23	-1.8690268	-6.5194716	human_frontal_rna
UMB5580_1_UMB5580_2_C2_AD004_rna	5	6	8	28	7.9599767	12.764861	human_frontal_rna
UMB5580_1_UMB5580_2_C2_AD006_rna	1	1	3	25	9.833254	-5.6675587	human_frontal_rna
UMB5580_1_UMB5580_2_C2_AD007_rna	7	8	9	13	3.7436173	7.2689853	human_frontal_rna
UMB5580_1_UMB5580_2_C2_AD008_rna	3	4	5	8	16.119263	9.543048	human_frontal_rna
UMB5580_1_UMB5580_2_C2_AD010_rna	5	6	8	22	8.587715	13.102763	human_frontal_rna
UMB5580_1_UMB5580_2_C2_AD012_rna	1	1	17	18	11.568362	-9.369078	human_frontal_rna
UMB5580_1_UMB5580_2_C3_AD001_rna	7	8	9	6	4.033539	4.5887604	human_frontal_rna
UMB5580_1_UMB5580_2_C3_AD002_rna	8	9	10	30	-6.4606214	-6.1561294	human_frontal_rna
UMB5580_1_UMB5580_2_C3_AD004_rna	6	7	18	33	-3.0442214	-9.761311	human_frontal_rna
UMB5580_1_UMB5580_2_C3_AD006_rna	3	4	5	2	15.554524	8.271285	human_frontal_rna
UMB5580_1_UMB5580_2_C3_AD007_rna	1	2	2	14	5.9257965	-10.394499	human_frontal_rna
UMB5580_1_UMB5580_2_C3_AD008_rna	14	15	16	44	-16.119673	2.6993468	human_frontal_rna
UMB5580_1_UMB5580_2_C3_AD010_rna	14	15	16	47	-12.836144	2.3200176	human_frontal_rna
UMB5580_1_UMB5580_2_C3_AD012_rna	6	7	18	33	-3.006157	-8.471067	human_frontal_rna
UMB5580_1_UMB5580_2_C4_AD001_rna	2	1	1	1	11.663434	-5.2867527	human_frontal_rna
UMB5580_1_UMB5580_2_C4_AD002_rna	5	6	8	28	7.3829618	14.665529	human_frontal_rna
UMB5580_1_UMB5580_2_C4_AD004_rna	4	5	4	15	4.0250897	-0.5656305	human_frontal_rna
UMB5580_1_UMB5580_2_C4_AD006_rna	15	16	20	36	-14.08283	-7.0387073	human_frontal_rna
UMB5580_1_UMB5580_2_C4_AD007_rna	13	14	19	42	-7.5368443	4.711682	human_frontal_rna
UMB5580_1_UMB5580_2_C4_AD008_rna	8	9	10	37	-3.6164458	-9.156799	human_frontal_rna
UMB5580_1_UMB5580_2_C4_AD010_rna	12	13	13	16	18.82275	0.8398254	human_frontal_rna
UMB5580_1_UMB5580_2_C4_AD012_rna	5	6	15	46	8.231958	9.698142	human_frontal_rna
UMB5580_1_UMB5580_2_C5_AD001_rna	1	2	2	14	6.3159795	-10.432932	human_frontal_rna
UMB5580_1_UMB5580_2_C5_AD002_rna	7	8	9	6	4.6398554	4.1258082	human_frontal_rna
UMB5580_1_UMB5580_2_C5_AD004_rna	5	6	15	34	8.574959	11.425903	human_frontal_rna
UMB5580_1_UMB5580_2_C5_AD006_rna	2	3	1	1	13.231782	-3.694441	human_frontal_rna
UMB5580_1_UMB5580_2_C5_AD007_rna	11	12	6	10	15.406374	2.4821916	human_frontal_rna
UMB5580_1_UMB5580_2_C5_AD008_rna	1	2	3	3	8.140156	-7.460295	human_frontal_rna
UMB5580_1_UMB5580_2_C5_AD010_rna	2	3	6	4	13.654397	-0.45872974	human_frontal_rna
UMB5580_1_UMB5580_2_C5_AD012_rna	5	6	8	22	9.627331	13.437024	human_frontal_rna
UMB5580_1_UMB5580_2_C6_AD001_rna	5	6	15	46	8.094116	9.942881	human_frontal_rna
UMB5580_1_UMB5580_2_C6_AD002_rna	2	1	1	1	11.947993	-5.750378	human_frontal_rna
UMB5580_1_UMB5580_2_C6_AD004_rna	4	5	4	21	0.94270253	1.1230234	human_frontal_rna
UMB5580_1_UMB5580_2_C6_AD006_rna	9	10	11	9	-1.2048557	5.333085	human_frontal_rna
UMB5580_1_UMB5580_2_C6_AD008_rna	6	7	7	32	1.1829076	-8.192123	human_frontal_rna
UMB5580_1_UMB5580_2_C6_AD010_rna	1	2	12	17	7.4459386	-4.833125	human_frontal_rna
UMB5580_1_UMB5580_2_C6_AD012_rna	2	3	1	5	12.149983	-2.8821456	human_frontal_rna
UMB5580_1_UMB5580_2_C7_AD001_rna	1	2	12	17	5.7887483	-6.6815743	human_frontal_rna
UMB5580_1_UMB5580_2_C7_AD002_rna	2	3	1	26	14.087592	-2.8858938	human_frontal_rna
UMB5580_1_UMB5580_2_C7_AD004_rna	16	17	21	43	7.389844	-0.1874351	human_frontal_rna
UMB5580_1_UMB5580_2_C7_AD006_rna	4	5	4	15	3.109335	0.41505945	human_frontal_rna
UMB5580_1_UMB5580_2_C7_AD007_rna	5	6	8	28	7.6454034	13.178138	human_frontal_rna
UMB5580_1_UMB5580_2_C7_AD008_rna	2	1	1	1	12.338526	-5.8683577	human_frontal_rna
UMB5580_1_UMB5580_2_C7_AD010_rna	6	7	7	23	-0.3015284	-4.269776	human_frontal_rna
UMB5580_1_UMB5580_2_C7_AD012_rna	1	1	3	7	9.095016	-6.3352785	human_frontal_rna
UMB5580_1_UMB5580_2_C8_AD001_rna	1	1	12	17	7.9264	-4.459961	human_frontal_rna
UMB5580_1_UMB5580_2_C8_AD002_rna	3	4	5	2	15.688925	7.6168094	human_frontal_rna
UMB5580_1_UMB5580_2_C8_AD004_rna	5	6	8	38	11.488896	14.968589	human_frontal_rna
UMB5580_1_UMB5580_2_C8_AD006_rna	1	2	2	20	6.3634095	-7.7349463	human_frontal_rna
UMB5580_1_UMB5580_2_C8_AD007_rna	1	1	3	25	8.6936455	-5.449424	human_frontal_rna
UMB5580_1_UMB5580_2_C8_AD008_rna	1	1	3	7	10.272703	-8.237935	human_frontal_rna
UMB5580_1_UMB5580_2_C8_AD010_rna	2	1	1	27	10.639559	-4.9288106	human_frontal_rna
UMB5580_1_UMB5580_2_C8_AD012_rna	3	4	5	2	14.629442	7.4200506	human_frontal_rna
UMB5580_1_UMB5580_2_C9_AD001_rna	4	5	4	15	3.9168885	-0.05504827	human_frontal_rna
UMB5580_1_UMB5580_2_C9_AD002_rna	3	4	5	8	16.006905	8.954904	human_frontal_rna
UMB5580_1_UMB5580_2_C9_AD006_rna	6	7	7	23	-0.58694726	-5.64156	human_frontal_rna
UMB5580_1_UMB5580_2_C9_AD007_rna	2	3	1	5	12.566389	-1.9224868	human_frontal_rna
UMB5580_1_UMB5580_2_C9_AD008_rna	7	8	9	6	5.4019847	3.7842793	human_frontal_rna
UMB5580_1_UMB5580_2_C9_AD010_rna	11	12	6	4	15.159681	1.6134841	human_frontal_rna
UMB5580_1_UMB5580_2_C9_AD012_rna	1	2	3	25	6.6886125	-7.120764	human_frontal_rna
UMB5580_1_UMB5580_2_D10_AD001_rna	8	9	10	37	-3.671242	-9.22401	human_frontal_rna
UMB5580_1_UMB5580_2_D10_AD002_rna	14	15	16	49	-14.855884	1.5323994	human_frontal_rna
UMB5580_1_UMB5580_2_D10_AD004_rna	4	5	4	21	1.6390668	0.056008346	human_frontal_rna
UMB5580_1_UMB5580_2_D10_AD006_rna	2	3	1	5	12.108832	-2.1597526	human_frontal_rna
UMB5580_1_UMB5580_2_D10_AD007_rna	11	12	6	10	17.186283	3.980933	human_frontal_rna
UMB5580_1_UMB5580_2_D10_AD008_rna	8	9	10	37	-4.822516	-8.34696	human_frontal_rna
UMB5580_1_UMB5580_2_D10_AD010_rna	1	2	2	14	6.4094853	-10.2399435	human_frontal_rna
UMB5580_1_UMB5580_2_D10_AD012_rna	3	4	5	8	15.280148	9.903436	human_frontal_rna
UMB5580_1_UMB5580_2_D11_AD001_rna	5	6	15	34	8.66805	11.596009	human_frontal_rna
UMB5580_1_UMB5580_2_D11_AD002_rna	3	4	5	2	16.189882	8.230864	human_frontal_rna
UMB5580_1_UMB5580_2_D11_AD006_rna	2	3	6	4	13.449063	-0.29122478	human_frontal_rna
UMB5580_1_UMB5580_2_D11_AD007_rna	2	1	3	24	10.736889	-6.61528	human_frontal_rna
UMB5580_1_UMB5580_2_D11_AD008_rna	4	5	4	15	4.0103054	-0.3661245	human_frontal_rna
UMB5580_1_UMB5580_2_D11_AD010_rna	7	8	9	13	3.6826658	5.1119833	human_frontal_rna
UMB5580_1_UMB5580_2_D11_AD012_rna	1	2	2	3	6.1471543	-8.0674	human_frontal_rna
UMB5580_1_UMB5580_2_D1_AD001_rna	5	6	15	34	8.367541	11.407382	human_frontal_rna
UMB5580_1_UMB5580_2_D1_AD002_rna	11	12	6	10	14.721806	2.186901	human_frontal_rna
UMB5580_1_UMB5580_2_D1_AD004_rna	4	5	4	15	7.389136	-3.6047125	human_frontal_rna
UMB5580_1_UMB5580_2_D1_AD006_rna	7	8	9	13	3.3667545	5.7892704	human_frontal_rna
UMB5580_1_UMB5580_2_D1_AD007_rna	10	11	12	31	5.0278983	-3.3903387	human_frontal_rna
UMB5580_1_UMB5580_2_D1_AD008_rna	2	3	6	4	15.079873	-0.025608858	human_frontal_rna
UMB5580_1_UMB5580_2_D1_AD010_rna	12	13	13	16	21.55996	0.11120134	human_frontal_rna
UMB5580_1_UMB5580_2_D1_AD012_rna	1	2	3	3	7.672465	-7.71212	human_frontal_rna
UMB5580_1_UMB5580_2_D2_AD001_rna	2	1	1	1	11.678649	-5.515603	human_frontal_rna
